LVDT,Force
0,0
-0.00034191,-0.02180385
-0.00045588,-0.02180385
-0.00022794,-0.02180385
-0.00034191,-0.02180385
-0.00034191,-0.0145359
-0.00011397,-0.0290718
0,-0.00726795
0,0
-0.00022794,-0.00726795
-0.00022794,0.00726795
0,0.03633975
-0.00011397,0.02180385
0,0.02180385
0.00022794,0.0290718
0.00034191,0.02180385
0.00068382,0.03633975
0.00079779,0.00726795
0.00056985,0.03633975
0.00045588,0.0290718
0.00022794,0.0290718
0.00022794,0.03633975
0.00045588,0.03633975
0.00034191,0.0145359
0.00056985,0.0145359
0.00034191,0.0290718
0.00034191,0.03633975
0.00022794,0.0436077
0.00034191,0.0436077
0.00034191,0.05087565
0.00068382,0.0436077
0.00079779,0.0436077
0.00011397,0.05087565
-0.00011397,0.05087565
0.00022794,0.06541155
0.00011397,0.0581436
-0.00011397,0.07510215
-0.00011397,0.0823701
0,0.08963805
0.00034191,0.0823701
0.00056985,0.096906
0.00045588,0.10417395
0.00045588,0.096906
0.00045588,0.10417395
0.00056985,0.1259778
0.00079779,0.1259778
0.00034191,0.1259778
0.00022794,0.1405137
0.00034191,0.1114419
0.00045588,0.1259778
0.00034191,0.13324575
0.00045588,0.13324575
0.00045588,0.1405137
0.00034191,0.14778165
0.00068382,0.1259778
0.00079779,0.13324575
0.00045588,0.14778165
0.00022794,0.16231755
0.00034191,0.1841214
0.00045588,0.1695855
0.00045588,0.1841214
0.00022794,0.17685345
-0.00011397,0.1986573
0,0.20592525
0,0.1986573
0.00022794,0.24468765
0.00034191,0.2664915
0.00045588,0.2810274
0.00034191,0.28829535
0.00022794,0.2955633
0.00045588,0.28829535
0.00079779,0.31736715
0.00045588,0.3246351
0.00045588,0.31736715
0.00056985,0.31736715
0.00068382,0.34643895
0.00056985,0.3779334
0.00056985,0.37066545
0.00056985,0.3779334
0.00117769,0.38520135
0.00129166,0.38520135
0.00140563,0.4070052
0.00140563,0.41427315
0.00140563,0.436077
0.00129166,0.436077
0.00129166,0.47241675
0.00140563,0.4796847
0.00163357,0.5039112
0.00163357,0.51117915
0.0015196,0.5184471
0.0015196,0.5184471
